id,carat,cut,color,clarity,depth,table,price,x,y,z
5756,0.72,Ideal,D,VS1,60.9,56.0,3896,5.79,5.86,3.55
27356,2.0,Good,G,SI1,59.1,61.0,17930,8.14,8.18,4.82
22568,1.5,Premium,G,SI1,62.3,58.0,10618,7.33,7.27,4.55
29054,0.4,Good,E,SI1,63.2,58.0,687,4.66,4.7,2.96
35203,0.33,Ideal,I,IF,62.1,55.0,891,4.44,4.41,2.75
25929,2.03,Very Good,I,VS1,63.2,60.0,15086,8.01,7.98,5.05
50325,0.65,Very Good,F,VS2,64.0,55.3,2241,5.5,5.57,3.54
31934,0.3,Ideal,F,VS2,61.4,57.0,776,4.36,4.34,2.67
45116,0.71,Good,I,SI1,63.6,63.0,1651,5.61,5.64,3.58
50864,0.82,Very Good,J,SI1,62.9,57.0,2313,5.88,5.94,3.72
25484,2.23,Premium,J,SI1,62.4,59.0,14258,8.36,8.33,5.21
7564,0.9,Premium,G,VS2,62.1,59.0,4252,6.15,6.09,3.8
28363,0.35,Ideal,E,SI1,60.7,56.0,667,4.57,4.59,2.78
41525,0.42,Ideal,G,VVS1,60.6,56.0,1235,4.88,4.86,2.95
37621,0.44,Premium,I,VVS1,60.8,57.0,990,4.93,4.88,2.98
34974,0.23,Very Good,D,VVS1,60.5,55.0,472,4.01,4.02,2.43
40229,0.4,Ideal,G,VVS1,61.4,55.0,1123,4.72,4.76,2.91
19019,2.11,Very Good,G,I1,63.2,57.0,7834,8.13,8.07,5.12
38486,0.42,Ideal,D,VS2,61.8,56.0,1031,4.8,4.84,2.98
50689,0.51,Very Good,D,VVS2,63.1,58.0,2289,5.1,5.07,3.21
3810,1.03,Good,G,SI2,63.9,60.0,3466,6.33,6.37,4.06
27872,0.42,Good,D,SI2,63.2,57.0,653,4.75,4.77,3.01
16234,1.15,Premium,G,VS2,61.5,58.0,6492,6.76,6.71,4.14
51095,0.7,Good,I,VVS2,59.7,59.0,2335,5.73,5.77,3.43
32523,0.35,Very Good,G,VVS2,62.4,56.0,798,4.47,4.53,2.81
32049,0.36,Very Good,D,VS2,62.4,58.0,780,4.48,4.53,2.81
29232,0.33,Very Good,D,VS1,60.1,59.0,696,4.46,4.49,2.69
21976,1.51,Very Good,H,VS1,61.5,54.0,10045,7.34,7.42,4.54
41664,0.4,Ideal,G,IF,61.8,55.0,1239,4.75,4.79,2.95
6072,0.92,Premium,F,SI1,61.8,59.0,3967,6.25,6.21,3.85
26703,0.32,Ideal,F,VS2,62.4,56.0,645,4.35,4.37,2.72
26343,0.32,Ideal,G,VS1,61.2,56.0,645,4.41,4.45,2.71
30932,0.33,Ideal,H,SI2,61.2,54.0,448,4.45,4.5,2.74
13710,1.22,Premium,I,SI1,61.3,58.0,5602,6.94,6.9,4.24
45658,0.3,Very Good,E,SI1,59.7,59.9,526,4.36,4.4,2.61
44338,0.33,Very Good,H,VS2,62.2,57.0,521,4.42,4.46,2.76
23122,2.2,Premium,H,SI2,58.2,59.0,11147,8.52,8.47,4.94
7444,0.9,Good,F,SI1,64.2,56.0,4232,6.02,6.1,3.89
25126,2.0,Premium,J,VS2,61.5,59.0,13675,8.11,8.06,4.97
3895,0.77,Very Good,D,VS2,61.2,59.0,3489,5.86,5.91,3.6
26817,2.02,Premium,I,VS2,59.6,60.0,16709,8.2,8.25,4.9
43475,0.5,Good,E,VS2,63.1,61.0,1419,5.0,5.05,3.17
41748,0.52,Good,G,SI1,63.6,56.0,1244,5.07,5.09,3.23
2552,0.7,Very Good,G,VVS1,62.4,59.0,3208,5.63,5.66,3.52
